id,borrower_id,loan_amount,interest_rate,purpose,issue_date,status,risk_segment
228,228,26998,14.94,other,2021-10-30,default,Medium
229,229,39395,19.49,major_purchase,2020-06-24,current,Low
230,230,11110,15.89,major_purchase,2021-10-10,paid,Medium
231,231,29244,10.15,medical,2023-02-10,current,Low
232,232,1808,7.99,debt_consolidation,2022-03-05,current,Low
233,233,18623,11.2,home_improvement,2022-10-06,paid,Low
234,234,33492,8.29,education,2021-02-04,current,Low
235,235,29850,8.72,home_improvement,2024-07-28,current,Low
236,236,12641,8.28,other,2021-10-15,paid,Low
237,237,24921,14.88,debt_consolidation,2023-02-28,paid,Low
238,238,14739,13.09,medical,2021-08-19,current,Medium
239,239,17559,10.06,education,2024-01-04,current,Low
240,240,28413,9.56,small_business,2024-06-07,current,Low
241,241,24265,11.01,debt_consolidation,2023-06-08,default,Medium
242,242,7462,18.22,debt_consolidation,2022-11-11,current,Low
243,243,33798,15.17,debt_consolidation,2020-02-20,current,Medium
244,244,23483,6.35,medical,2021-02-27,current,Medium
245,245,8542,12.44,debt_consolidation,2021-12-03,current,Low
246,246,28942,11.49,other,2021-04-19,current,Low
247,247,30463,15.99,education,2022-03-07,default,Low
248,248,24972,8.65,home_improvement,2022-07-26,paid,Low
249,249,8486,15.66,home_improvement,2024-09-27,current,Low
250,250,21524,9.39,debt_consolidation,2021-09-17,paid,Low
251,251,32894,9.02,education,2023-11-21,current,Low
252,252,4513,14.5,other,2020-01-20,current,Low
253,253,30088,8.63,medical,2020-06-18,current,Low
254,254,38070,15.26,major_purchase,2024-04-17,current,Low
255,255,3726,8.57,car,2022-06-22,current,Medium
256,256,30473,8.64,debt_consolidation,2024-10-31,current,Low
257,257,29060,18.34,debt_consolidation,2020-10-12,current,Medium
258,258,20178,10.91,debt_consolidation,2021-07-01,current,Low
259,259,4885,17.01,other,2024-11-10,paid,High
260,260,26736,14.71,medical,2023-03-28,current,Low
261,261,19233,5.42,major_purchase,2024-12-01,paid,Medium
262,262,24476,17.91,other,2024-06-17,current,Medium
263,263,38875,19.46,debt_consolidation,2024-10-11,current,Low
264,264,9142,16.1,other,2020-11-19,paid,Medium
265,265,18958,7.54,debt_consolidation,2022-01-08,paid,Low
266,266,16344,14.07,medical,2020-07-05,current,Medium
267,267,23516,17.97,car,2024-10-27,current,Low
268,268,20611,10.15,debt_consolidation,2024-05-03,current,Low
269,269,11755,14.15,medical,2024-01-19,paid,Low
270,270,10175,12.99,major_purchase,2023-04-22,current,Low
271,271,19672,17.75,car,2023-11-15,default,Medium
272,272,4576,10.39,car,2024-06-13,current,Low
273,273,24664,9.27,other,2020-09-27,current,Low
274,274,5783,15.99,debt_consolidation,2020-05-18,default,Low
275,275,28225,11.77,medical,2022-04-03,paid,Low
276,276,11182,16.45,small_business,2022-03-11,current,Medium
277,277,16639,15.99,debt_consolidation,2020-06-25,current,Low
278,278,1830,6.94,major_purchase,2023-12-07,default,Low
279,279,18613,15.85,major_purchase,2020-08-29,current,Medium
280,280,6050,14.47,medical,2022-11-12,current,Low
281,281,8558,13.86,debt_consolidation,2022-11-08,default,Medium
282,282,3317,18.79,small_business,2024-01-02,current,Low
283,283,8825,18.77,small_business,2020-04-17,paid,Low
284,284,21361,13.88,home_improvement,2023-02-06,current,Low
285,285,33332,9.02,other,2024-05-08,paid,Medium
286,286,23703,12.16,education,2023-11-21,current,Low
287,287,35721,6.76,other,2022-05-09,current,Medium
288,288,35062,16.98,home_improvement,2022-02-01,paid,Medium
289,289,5081,8.96,medical,2020-09-24,paid,Low
290,290,18822,5.79,debt_consolidation,2021-02-19,paid,Low
291,291,24480,13.08,other,2021-03-01,current,Low
292,292,3643,8.81,debt_consolidation,2024-10-20,paid,Medium
293,293,12394,11.49,debt_consolidation,2022-04-08,current,Low
294,294,5041,16.25,car,2021-03-31,default,High
295,295,5914,14.68,debt_consolidation,2020-05-12,paid,Medium
296,296,38610,18.65,medical,2024-01-23,paid,Medium
297,297,10740,14.51,debt_consolidation,2023-06-22,current,Low
298,298,28474,12.23,debt_consolidation,2024-12-16,current,Low
299,299,36685,11.54,car,2021-12-05,current,Medium
300,300,19411,14.55,debt_consolidation,2022-08-24,current,Low
301,301,4664,14.97,car,2021-03-25,current,Low
302,302,24513,16.79,other,2020-02-27,current,Low
303,303,33258,9.57,small_business,2020-12-25,current,Medium
304,304,14203,11.98,car,2021-11-28,current,Low
305,305,8269,12.73,car,2024-10-28,current,Low
306,306,11322,10.14,major_purchase,2022-06-13,current,Low
307,307,24384,10.8,debt_consolidation,2023-04-21,current,Low
308,308,38541,12.22,home_improvement,2024-04-27,current,Medium
309,309,10217,17.08,home_improvement,2020-06-08,paid,Low
310,310,23003,6.64,medical,2021-06-27,paid,Low
311,311,28502,10.77,other,2024-12-16,paid,Medium
312,312,15783,5.79,debt_consolidation,2020-05-30,current,Low
313,313,5915,13.1,small_business,2020-07-09,paid,Low
314,314,29455,14.44,debt_consolidation,2020-07-26,paid,Low
315,315,20490,9.75,debt_consolidation,2020-04-11,current,Low
316,316,32478,12.04,debt_consolidation,2020-02-22,paid,Medium
317,317,18367,15.76,debt_consolidation,2023-01-19,paid,Medium
318,318,18600,13.19,small_business,2020-11-05,current,Medium
319,319,4996,15.46,car,2024-08-03,current,Low
320,320,26873,10.71,other,2024-01-02,default,Low
321,321,30428,11.76,debt_consolidation,2020-12-08,current,Medium
322,322,10691,11.69,car,2021-06-12,paid,Medium
323,323,35058,10.24,medical,2024-11-23,default,Low
324,324,39186,13.48,major_purchase,2020-07-24,current,Medium
325,325,32823,6.39,small_business,2022-08-26,default,Medium
326,326,22724,10.94,major_purchase,2020-04-10,current,Low
327,327,33218,8.9,other,2023-11-03,paid,Low
328,328,6851,8.52,debt_consolidation,2021-03-08,current,Low
329,329,21389,7.66,major_purchase,2022-04-06,default,Medium
330,330,17350,19.08,debt_consolidation,2020-04-13,current,Low
331,331,3002,11.82,debt_consolidation,2022-09-28,current,Low
332,332,6923,13.94,debt_consolidation,2022-03-02,default,Low
333,333,27837,7.19,small_business,2024-11-05,current,Low
334,334,17540,7.67,education,2021-09-17,current,Low
335,335,20801,8.44,major_purchase,2024-08-15,current,Medium
336,336,8084,9.98,medical,2021-11-19,current,Low
337,337,10825,4,small_business,2021-05-07,current,Medium
338,338,33595,6.89,other,2021-06-15,current,Low
339,339,15572,11.76,major_purchase,2023-07-31,current,High
340,340,12870,5.67,debt_consolidation,2022-08-22,paid,Low
341,341,15565,9.19,home_improvement,2024-03-04,current,Medium
342,342,4517,9.71,other,2023-04-10,current,Medium
343,343,28073,16.13,debt_consolidation,2024-10-15,default,Medium
344,344,6296,18.24,medical,2023-07-16,current,Low
345,345,11383,18.67,medical,2024-04-12,current,Medium
346,346,35981,13.97,debt_consolidation,2022-02-03,current,Low
347,347,15828,12.04,major_purchase,2021-12-06,paid,Low
348,348,30879,12.49,major_purchase,2023-05-06,current,Low
349,349,11805,11.89,other,2024-07-20,paid,High
350,350,25024,6.69,major_purchase,2024-06-10,default,Low
351,351,2293,15.89,debt_consolidation,2020-08-25,paid,Medium
352,352,20733,17.06,medical,2020-07-25,current,Medium
353,353,8715,10.35,debt_consolidation,2024-05-26,default,Medium
354,354,11510,11.37,debt_consolidation,2022-10-13,current,Medium
355,355,38627,12.14,major_purchase,2020-11-01,current,Medium
356,356,20400,8.76,debt_consolidation,2020-04-12,default,Medium
357,357,7225,8.72,other,2024-12-28,default,Low
358,358,7091,15.35,home_improvement,2021-12-02,paid,Low
359,359,11930,7.76,debt_consolidation,2023-11-26,current,Medium
360,360,29715,9.57,debt_consolidation,2022-02-16,current,Low
361,361,8401,11.65,other,2022-06-21,default,Medium
362,362,15679,10.98,other,2023-10-03,current,Low
363,363,26223,14.64,debt_consolidation,2024-08-19,current,Medium
364,364,11839,11.84,debt_consolidation,2022-10-03,paid,Low
365,365,6166,10.78,medical,2024-06-28,current,Low
366,366,27439,11.2,home_improvement,2023-02-15,current,Low
367,367,30898,5.61,other,2022-01-14,current,Low
368,368,24808,6.62,major_purchase,2020-08-21,paid,Low
369,369,7967,11.26,debt_consolidation,2020-12-02,current,Medium
370,370,26748,14.64,debt_consolidation,2024-08-15,current,Low
371,371,30524,8.61,medical,2023-04-21,current,Medium
372,372,32649,14.81,other,2024-05-18,current,Medium
373,373,22092,15.55,small_business,2022-02-26,paid,Medium
374,374,9740,14.19,debt_consolidation,2023-05-18,current,Medium
375,375,15243,7.16,debt_consolidation,2023-07-02,current,Medium
376,376,22127,4,major_purchase,2024-04-07,paid,Low
377,377,19738,15.29,other,2022-05-15,current,Medium
378,378,11547,9.66,other,2023-10-31,paid,Low
379,379,7716,10.98,education,2023-10-15,current,Low
380,380,19850,18.98,major_purchase,2020-04-06,current,Low
381,381,14309,11.72,education,2024-05-18,current,Medium
382,382,13875,8.29,car,2021-01-31,paid,Low
383,383,19291,9.99,small_business,2020-09-23,paid,Low
384,384,4332,11.56,car,2023-07-04,current,Low
385,385,15415,17.45,other,2022-12-02,paid,Low
386,386,22750,13.54,home_improvement,2021-08-24,paid,Medium
387,387,30207,11.94,debt_consolidation,2023-08-08,current,Low
388,388,17815,16.84,small_business,2021-08-02,default,Medium
389,389,13616,12.4,home_improvement,2020-06-17,current,Medium
390,390,14970,12.07,other,2022-05-18,current,Low
391,391,11076,6.3,debt_consolidation,2024-01-08,paid,Low
392,392,17950,10.13,home_improvement,2022-07-12,current,Low
393,393,39378,10.76,debt_consolidation,2024-10-03,paid,Low
394,394,29683,13.61,home_improvement,2024-08-10,current,Low
395,395,10442,16.52,debt_consolidation,2024-12-21,current,Medium
396,396,1329,10.32,small_business,2022-03-18,current,Low
397,397,34590,9.91,debt_consolidation,2021-01-11,paid,Low
398,398,36969,4.56,medical,2023-01-30,paid,Low
399,399,16370,7.23,debt_consolidation,2023-06-22,paid,Low
400,400,38149,6.82,home_improvement,2021-10-09,current,Low
401,401,24559,6.44,debt_consolidation,2024-02-10,paid,Low
402,402,6372,12.16,car,2024-10-24,current,Low
403,403,34238,12.73,education,2024-07-22,current,Low
404,404,31939,10.4,education,2020-10-31,current,Low
405,405,24846,15.52,small_business,2023-09-19,paid,Low
406,406,38116,9.8,other,2023-09-12,current,Low
407,407,18324,13.7,home_improvement,2020-03-28,current,Low
408,408,22238,7.92,debt_consolidation,2022-12-03,paid,High
409,409,39514,10.34,education,2024-09-07,paid,Low
410,410,32595,16.11,other,2020-01-14,current,Low
411,411,24738,9.84,education,2024-07-31,paid,Low
412,412,11567,12.53,education,2022-04-21,default,Low
413,413,4664,11.18,debt_consolidation,2021-01-03,current,Low
414,414,6619,7.54,debt_consolidation,2023-05-27,current,High
415,415,12919,7.79,education,2022-11-12,paid,Low
416,416,8115,10.44,debt_consolidation,2022-12-06,current,Low
417,417,3558,14.59,other,2022-12-24,current,Medium
418,418,29278,11.95,small_business,2022-01-28,current,Low
419,419,38756,8.2,debt_consolidation,2020-10-01,paid,Medium
420,420,1358,9.1,major_purchase,2024-06-04,default,Low
421,421,7985,18.94,debt_consolidation,2023-08-27,current,Medium
422,422,14349,4,home_improvement,2024-05-24,current,Low
423,423,27091,11.62,major_purchase,2024-10-17,current,Medium
424,424,23179,11.42,car,2023-06-11,current,Low
425,425,29532,12.06,debt_consolidation,2021-06-22,paid,Medium
426,426,4765,8.81,other,2024-08-06,paid,Low
427,427,34459,9.96,small_business,2021-04-19,current,Medium
428,428,27177,11.74,home_improvement,2022-03-20,paid,Medium
429,429,37642,9.54,other,2021-12-13,paid,Medium
430,430,12471,13.14,home_improvement,2020-08-06,current,Low
431,431,38676,9.8,debt_consolidation,2022-06-25,current,High
432,432,39458,10.93,other,2022-09-14,default,High
433,433,24140,5.16,small_business,2020-01-20,current,Low
434,434,12697,8.34,medical,2021-12-25,paid,Low
435,435,16391,10.9,major_purchase,2024-11-22,paid,Medium
436,436,6143,17.46,major_purchase,2023-09-20,current,Low
437,437,38651,8.85,other,2022-10-02,paid,Low
438,438,28733,9.9,medical,2023-01-12,default,Low
439,439,21686,12.54,major_purchase,2020-01-25,current,Medium
440,440,18655,10.04,medical,2023-06-09,paid,Medium
441,441,30538,8.19,debt_consolidation,2020-09-25,current,Low
442,442,13849,7.2,debt_consolidation,2024-02-21,default,Medium
443,443,21691,11.78,car,2021-09-06,paid,Medium
444,444,7311,14.38,medical,2021-11-16,paid,Low
445,445,14038,15.42,small_business,2023-08-23,current,Low
446,446,6138,7.9,home_improvement,2021-08-09,current,Low
447,447,5675,14.6,debt_consolidation,2021-12-04,paid,Low
448,448,24800,9.49,major_purchase,2022-12-02,current,Low
449,449,6247,6.17,debt_consolidation,2022-03-24,paid,Low
450,450,6455,12.66,debt_consolidation,2023-06-19,paid,Low
451,451,9603,15.27,small_business,2020-12-15,default,Medium
452,452,36949,13.66,medical,2023-11-29,current,Low
453,453,35982,9.02,home_improvement,2021-12-12,current,Medium
454,454,35296,13.22,car,2024-10-02,paid,Low
455,455,29209,10.51,car,2023-05-07,paid,Medium
456,456,26540,13.17,car,2021-03-27,paid,Low
457,457,35861,6.32,car,2022-04-25,paid,Medium
458,458,33243,13.22,debt_consolidation,2020-02-09,paid,Low
459,459,16257,18.29,debt_consolidation,2020-01-31,current,Low
460,460,22643,11.94,debt_consolidation,2024-03-17,current,Medium
461,461,26007,12.49,car,2020-09-06,current,Low
462,462,7157,10.96,small_business,2021-03-02,paid,Medium
463,463,35139,11.15,debt_consolidation,2022-09-12,current,Low
464,464,22267,13.92,debt_consolidation,2024-06-14,paid,Low
465,465,11157,9.01,home_improvement,2020-07-02,paid,Low
466,466,36150,11.01,car,2020-09-14,current,Medium
467,467,2399,18.91,major_purchase,2022-01-03,current,Low
468,468,38139,10.19,debt_consolidation,2021-12-13,paid,Low
469,469,18258,16.16,small_business,2022-07-18,default,Medium
470,470,22017,9.4,major_purchase,2023-09-10,current,Low
471,471,27856,9.7,education,2020-08-14,paid,Low
472,472,13557,12.91,debt_consolidation,2023-03-15,current,Medium
473,473,5644,11.32,debt_consolidation,2021-03-03,current,Low
474,474,28259,13.9,car,2024-06-14,current,Low
475,475,35044,13.46,debt_consolidation,2024-01-25,paid,Low
476,476,37578,7.86,home_improvement,2020-08-04,current,Low
477,477,37042,12.83,home_improvement,2021-11-22,current,Medium
478,478,25361,9.09,home_improvement,2023-07-20,paid,High
479,479,17651,18.64,home_improvement,2022-07-15,paid,Medium
480,480,1430,12.22,home_improvement,2021-03-30,paid,Medium
481,481,38399,4,other,2020-11-12,default,Medium
482,482,20680,10.06,debt_consolidation,2022-03-29,current,Medium
483,483,38763,18.62,car,2020-07-14,current,Medium
484,484,23801,12.64,other,2022-06-08,paid,Medium
485,485,26066,7.55,debt_consolidation,2022-12-09,default,Low
486,486,26747,13.27,other,2024-03-21,current,Medium
487,487,4231,14.9,small_business,2021-06-21,default,Medium
