id,date,description,amount,category_name,type,payment_method
44,2024-08-23,Electronics,131.71,Shopping,expense,credit_card
45,2024-08-14,Electronics,201.08,Shopping,expense,bank_transfer
46,2024-08-11,Home Goods,57.49,Shopping,expense,credit_card
47,2024-08-20,Books / Stationery,22.28,Shopping,expense,upi
48,2024-08-05,Electricity Bill,75.02,Utilities,expense,credit_card
49,2024-08-23,Internet Bill,64.68,Utilities,expense,upi
50,2024-08-01,Water Bill,24.18,Utilities,expense,debit_card
51,2024-08-17,Mobile Phone Bill,37.69,Utilities,expense,debit_card
52,2024-09-01,Monthly Salary,4492.96,Income,income,bank_transfer
53,2024-09-20,Rent Payment,1460.46,Housing,expense,bank_transfer
54,2024-09-24,Grocery Store,86.15,Food & Dining,expense,debit_card
55,2024-09-27,Restaurant,50.98,Food & Dining,expense,debit_card
56,2024-09-02,Restaurant,22.66,Food & Dining,expense,debit_card
57,2024-09-14,Restaurant,56.13,Food & Dining,expense,credit_card
58,2024-09-13,Restaurant,53.63,Food & Dining,expense,bank_transfer
59,2024-09-11,Restaurant,73.47,Food & Dining,expense,debit_card
60,2024-09-21,Coffee Shop,6.34,Food & Dining,expense,upi
61,2024-09-07,Food Delivery,42.31,Food & Dining,expense,cash
62,2024-09-03,Food Delivery,43.95,Food & Dining,expense,bank_transfer
63,2024-09-11,Food Delivery,45.59,Food & Dining,expense,credit_card
64,2024-09-27,Food Delivery,56.38,Food & Dining,expense,debit_card
65,2024-09-15,Bakery,11.28,Food & Dining,expense,bank_transfer
66,2024-09-01,Fuel / Petrol,52.38,Transport,expense,upi
67,2024-09-22,Fuel / Petrol,46.0,Transport,expense,cash
68,2024-09-25,Uber / Lyft,17.08,Transport,expense,bank_transfer
69,2024-09-20,Metro / Bus Pass,53.36,Transport,expense,upi
70,2024-09-09,Car Maintenance,96.56,Transport,expense,bank_transfer
71,2024-09-01,Car Maintenance,305.54,Transport,expense,credit_card
72,2024-09-23,Parking,11.98,Transport,expense,upi
73,2024-09-18,Parking,8.31,Transport,expense,debit_card
74,2024-09-28,Netflix,15.12,Entertainment,expense,credit_card
75,2024-09-15,Spotify,10.79,Entertainment,expense,bank_transfer
76,2024-09-16,Cinema Tickets,36.5,Entertainment,expense,credit_card
77,2024-09-21,Cinema Tickets,37.64,Entertainment,expense,credit_card
78,2024-09-07,Gaming / Steam,49.47,Entertainment,expense,upi
79,2024-09-04,Gaming / Steam,17.85,Entertainment,expense,bank_transfer
80,2024-09-16,Concert / Events,95.84,Entertainment,expense,upi
81,2024-09-15,Concert / Events,128.51,Entertainment,expense,credit_card
82,2024-09-07,Gym Membership,48.13,Health & Fitness,expense,bank_transfer
83,2024-09-17,Pharmacy,45.35,Health & Fitness,expense,cash
84,2024-09-07,Doctor Visit,124.91,Health & Fitness,expense,credit_card
85,2024-09-16,Health Insurance,161.46,Health & Fitness,expense,upi
86,2024-09-06,Amazon Purchase,29.95,Shopping,expense,debit_card
87,2024-09-28,Amazon Purchase,81.49,Shopping,expense,upi
88,2024-09-02,Clothing Store,134.91,Shopping,expense,upi
89,2024-09-02,Electronics,96.1,Shopping,expense,debit_card
90,2024-09-15,Home Goods,24.61,Shopping,expense,credit_card
91,2024-09-21,Books / Stationery,30.56,Shopping,expense,cash
92,2024-09-06,Books / Stationery,20.13,Shopping,expense,bank_transfer
93,2024-09-17,Electricity Bill,58.62,Utilities,expense,debit_card
94,2024-09-05,Internet Bill,61.07,Utilities,expense,debit_card
95,2024-09-22,Water Bill,37.37,Utilities,expense,bank_transfer
96,2024-09-11,Mobile Phone Bill,31.5,Utilities,expense,debit_card
97,2024-10-01,Monthly Salary,4599.38,Income,income,bank_transfer
98,2024-10-02,Rent Payment,1484.95,Housing,expense,bank_transfer
99,2024-10-24,Grocery Store,87.05,Food & Dining,expense,bank_transfer
100,2024-10-14,Grocery Store,91.01,Food & Dining,expense,bank_transfer
101,2024-10-24,Restaurant,69.15,Food & Dining,expense,credit_card
102,2024-10-14,Restaurant,47.18,Food & Dining,expense,bank_transfer
103,2024-10-26,Restaurant,79.94,Food & Dining,expense,bank_transfer
104,2024-10-20,Coffee Shop,6.29,Food & Dining,expense,bank_transfer
105,2024-10-11,Food Delivery,29.75,Food & Dining,expense,debit_card
106,2024-10-22,Food Delivery,40.35,Food & Dining,expense,credit_card
107,2024-10-03,Bakery,16.06,Food & Dining,expense,credit_card
108,2024-10-05,Bakery,17.92,Food & Dining,expense,bank_transfer
109,2024-10-01,Bakery,16.28,Food & Dining,expense,credit_card
110,2024-10-22,Bakery,18.4,Food & Dining,expense,credit_card
111,2024-10-11,Fuel / Petrol,51.34,Transport,expense,bank_transfer
112,2024-10-26,Uber / Lyft,18.13,Transport,expense,debit_card
113,2024-10-11,Uber / Lyft,19.59,Transport,expense,bank_transfer
114,2024-10-21,Metro / Bus Pass,60.69,Transport,expense,bank_transfer
115,2024-10-08,Car Maintenance,150.29,Transport,expense,debit_card
116,2024-10-20,Parking,15.42,Transport,expense,debit_card
117,2024-10-18,Parking,11.07,Transport,expense,upi
118,2024-10-01,Netflix,15.29,Entertainment,expense,debit_card
119,2024-10-25,Spotify,9.77,Entertainment,expense,upi
120,2024-10-22,Cinema Tickets,34.46,Entertainment,expense,bank_transfer
121,2024-10-19,Cinema Tickets,23.46,Entertainment,expense,bank_transfer
122,2024-10-16,Gaming / Steam,59.03,Entertainment,expense,debit_card
123,2024-10-17,Concert / Events,49.78,Entertainment,expense,upi
124,2024-10-19,Gym Membership,45.1,Health & Fitness,expense,credit_card
125,2024-10-15,Pharmacy,51.25,Health & Fitness,expense,debit_card
126,2024-10-05,Doctor Visit,55.44,Health & Fitness,expense,debit_card
127,2024-10-25,Doctor Visit,91.54,Health & Fitness,expense,credit_card
128,2024-10-21,Health Insurance,185.15,Health & Fitness,expense,credit_card
129,2024-10-08,Amazon Purchase,28.38,Shopping,expense,credit_card
130,2024-10-26,Clothing Store,93.53,Shopping,expense,credit_card
131,2024-10-01,Clothing Store,117.82,Shopping,expense,credit_card
132,2024-10-06,Electronics,197.3,Shopping,expense,credit_card
133,2024-10-24,Home Goods,68.02,Shopping,expense,upi
134,2024-10-21,Books / Stationery,18.16,Shopping,expense,upi
135,2024-10-22,Books / Stationery,29.42,Shopping,expense,credit_card
136,2024-10-22,Electricity Bill,64.37,Utilities,expense,bank_transfer
137,2024-10-01,Internet Bill,52.02,Utilities,expense,debit_card
138,2024-10-22,Water Bill,24.85,Utilities,expense,debit_card
139,2024-10-20,Mobile Phone Bill,48.29,Utilities,expense,bank_transfer
140,2024-11-01,Monthly Salary,4467.88,Income,income,bank_transfer
141,2024-11-22,Freelance Income,573.18,Income,income,bank_transfer
142,2024-11-16,Rent Payment,1268.33,Housing,expense,credit_card
143,2024-11-22,Grocery Store,64.06,Food & Dining,expense,bank_transfer
144,2024-11-01,Grocery Store,58.16,Food & Dining,expense,credit_card
145,2024-11-14,Grocery Store,65.24,Food & Dining,expense,cash
146,2024-11-07,Restaurant,77.8,Food & Dining,expense,debit_card
147,2024-11-02,Restaurant,35.44,Food & Dining,expense,credit_card
148,2024-11-06,Coffee Shop,4.89,Food & Dining,expense,debit_card
149,2024-11-14,Coffee Shop,10.05,Food & Dining,expense,debit_card
150,2024-11-20,Coffee Shop,8.1,Food & Dining,expense,cash
151,2024-11-07,Coffee Shop,13.87,Food & Dining,expense,debit_card
152,2024-11-02,Coffee Shop,7.76,Food & Dining,expense,debit_card
153,2024-11-27,Food Delivery,50.09,Food & Dining,expense,debit_card
154,2024-11-19,Food Delivery,28.45,Food & Dining,expense,bank_transfer
155,2024-11-27,Food Delivery,25.19,Food & Dining,expense,credit_card
156,2024-11-17,Food Delivery,50.24,Food & Dining,expense,debit_card
157,2024-11-23,Food Delivery,62.04,Food & Dining,expense,credit_card
158,2024-11-26,Bakery,17.3,Food & Dining,expense,debit_card
159,2024-11-10,Bakery,13.68,Food & Dining,expense,cash
160,2024-11-01,Fuel / Petrol,49.51,Transport,expense,debit_card
161,2024-11-05,Fuel / Petrol,56.75,Transport,expense,bank_transfer
162,2024-11-14,Uber / Lyft,28.12,Transport,expense,upi
163,2024-11-22,Metro / Bus Pass,56.58,Transport,expense,debit_card
164,2024-11-16,Car Maintenance,117.93,Transport,expense,credit_card
165,2024-11-23,Car Maintenance,275.23,Transport,expense,credit_card
166,2024-11-05,Parking,17.08,Transport,expense,credit_card
167,2024-11-17,Netflix,15.65,Entertainment,expense,debit_card
168,2024-11-01,Spotify,9.57,Entertainment,expense,debit_card
169,2024-11-12,Cinema Tickets,44.99,Entertainment,expense,credit_card
170,2024-11-12,Gaming / Steam,45.21,Entertainment,expense,bank_transfer
171,2024-11-28,Gaming / Steam,16.87,Entertainment,expense,upi
172,2024-11-21,Concert / Events,67.75,Entertainment,expense,bank_transfer
173,2024-11-25,Gym Membership,55.09,Health & Fitness,expense,credit_card
174,2024-11-06,Pharmacy,23.06,Health & Fitness,expense,credit_card
175,2024-11-10,Doctor Visit,68.83,Health & Fitness,expense,bank_transfer
176,2024-11-04,Doctor Visit,43.13,Health & Fitness,expense,credit_card
177,2024-11-13,Health Insurance,172.5,Health & Fitness,expense,credit_card
178,2024-11-13,Amazon Purchase,96.96,Shopping,expense,credit_card
179,2024-11-06,Clothing Store,122.63,Shopping,expense,credit_card
180,2024-11-01,Electronics,396.83,Shopping,expense,cash
181,2024-11-03,Electronics,182.57,Shopping,expense,upi
182,2024-11-10,Home Goods,75.86,Shopping,expense,debit_card
183,2024-11-26,Home Goods,52.63,Shopping,expense,credit_card
184,2024-11-06,Books / Stationery,34.46,Shopping,expense,credit_card
185,2024-11-06,Books / Stationery,34.91,Shopping,expense,debit_card
186,2024-11-06,Electricity Bill,68.11,Utilities,expense,upi
187,2024-11-25,Internet Bill,61.7,Utilities,expense,upi
188,2024-11-24,Water Bill,33.08,Utilities,expense,debit_card
189,2024-11-09,Mobile Phone Bill,36.78,Utilities,expense,upi
190,2024-12-01,Monthly Salary,4666.58,Income,income,bank_transfer
191,2024-12-19,Rent Payment,1445.63,Housing,expense,bank_transfer
192,2024-12-17,Grocery Store,106.11,Food & Dining,expense,credit_card
193,2024-12-14,Grocery Store,84.27,Food & Dining,expense,bank_transfer
194,2024-12-12,Grocery Store,71.98,Food & Dining,expense,debit_card
195,2024-12-02,Restaurant,60.79,Food & Dining,expense,debit_card
196,2024-12-11,Coffee Shop,12.5,Food & Dining,expense,bank_transfer
197,2024-12-09,Coffee Shop,14.38,Food & Dining,expense,debit_card
198,2024-12-09,Coffee Shop,5.67,Food & Dining,expense,debit_card
199,2024-12-13,Coffee Shop,14.09,Food & Dining,expense,bank_transfer
200,2024-12-03,Food Delivery,54.86,Food & Dining,expense,upi
201,2024-12-12,Food Delivery,24.67,Food & Dining,expense,bank_transfer
202,2024-12-17,Food Delivery,44.53,Food & Dining,expense,debit_card
203,2024-12-16,Food Delivery,50.92,Food & Dining,expense,credit_card
204,2024-12-05,Food Delivery,40.36,Food & Dining,expense,upi
205,2024-12-05,Bakery,14.98,Food & Dining,expense,debit_card
206,2024-12-08,Bakery,8.14,Food & Dining,expense,bank_transfer
207,2024-12-19,Fuel / Petrol,48.07,Transport,expense,credit_card
208,2024-12-11,Uber / Lyft,30.3,Transport,expense,credit_card
209,2024-12-03,Uber / Lyft,17.7,Transport,expense,credit_card
210,2024-12-18,Metro / Bus Pass,57.21,Transport,expense,bank_transfer
211,2024-12-27,Car Maintenance,129.51,Transport,expense,bank_transfer
212,2024-12-28,Car Maintenance,153.33,Transport,expense,credit_card
213,2024-12-26,Parking,6.54,Transport,expense,credit_card
214,2024-12-13,Netflix,14.46,Entertainment,expense,bank_transfer
215,2024-12-18,Spotify,9.02,Entertainment,expense,debit_card
216,2024-12-07,Cinema Tickets,38.11,Entertainment,expense,debit_card
217,2024-12-11,Cinema Tickets,48.8,Entertainment,expense,cash
218,2024-12-27,Gaming / Steam,19.77,Entertainment,expense,debit_card
219,2024-12-24,Concert / Events,51.26,Entertainment,expense,debit_card
220,2024-12-06,Gym Membership,73.53,Health & Fitness,expense,upi
221,2024-12-09,Pharmacy,35.71,Health & Fitness,expense,bank_transfer
222,2024-12-28,Doctor Visit,151.23,Health & Fitness,expense,bank_transfer
223,2024-12-23,Doctor Visit,103.65,Health & Fitness,expense,debit_card
224,2024-12-12,Health Insurance,135.67,Health & Fitness,expense,cash
225,2024-12-24,Amazon Purchase,123.51,Shopping,expense,bank_transfer
226,2024-12-13,Clothing Store,55.66,Shopping,expense,debit_card
227,2024-12-10,Clothing Store,112.55,Shopping,expense,debit_card
228,2024-12-02,Electronics,203.91,Shopping,expense,credit_card
229,2024-12-15,Electronics,271.2,Shopping,expense,debit_card
230,2024-12-14,Home Goods,90.1,Shopping,expense,bank_transfer
231,2024-12-11,Home Goods,82.34,Shopping,expense,upi
232,2024-12-14,Books / Stationery,24.6,Shopping,expense,upi
233,2024-12-22,Books / Stationery,27.24,Shopping,expense,credit_card
234,2024-12-14,Electricity Bill,71.84,Utilities,expense,debit_card
235,2024-12-03,Internet Bill,65.79,Utilities,expense,debit_card
236,2024-12-20,Water Bill,31.99,Utilities,expense,debit_card
237,2024-12-24,Mobile Phone Bill,30.38,Utilities,expense,bank_transfer
238,2025-01-01,Monthly Salary,4382.02,Income,income,bank_transfer
239,2025-01-05,Rent Payment,1601.51,Housing,expense,debit_card
240,2025-01-16,Grocery Store,107.99,Food & Dining,expense,credit_card
241,2025-01-20,Grocery Store,67.88,Food & Dining,expense,debit_card
242,2025-01-13,Grocery Store,109.22,Food & Dining,expense,upi
243,2025-01-04,Grocery Store,114.29,Food & Dining,expense,debit_card
244,2025-01-19,Restaurant,56.94,Food & Dining,expense,upi
245,2025-01-26,Restaurant,50.3,Food & Dining,expense,debit_card
246,2025-01-27,Restaurant,57.23,Food & Dining,expense,credit_card
247,2025-01-17,Coffee Shop,5.12,Food & Dining,expense,credit_card
248,2025-01-19,Coffee Shop,12.92,Food & Dining,expense,debit_card
249,2025-01-28,Coffee Shop,8.87,Food & Dining,expense,bank_transfer
250,2025-01-28,Coffee Shop,12.17,Food & Dining,expense,credit_card
251,2025-01-19,Coffee Shop,11.82,Food & Dining,expense,upi
252,2025-01-12,Food Delivery,47.79,Food & Dining,expense,upi
253,2025-01-05,Food Delivery,28.77,Food & Dining,expense,cash
254,2025-01-26,Food Delivery,50.3,Food & Dining,expense,debit_card
255,2025-01-03,Food Delivery,55.4,Food & Dining,expense,debit_card
256,2025-01-07,Bakery,11.64,Food & Dining,expense,cash
257,2025-01-17,Bakery,17.69,Food & Dining,expense,debit_card
258,2025-01-14,Bakery,15.89,Food & Dining,expense,credit_card
259,2025-01-26,Bakery,16.88,Food & Dining,expense,upi
260,2025-01-08,Bakery,16.03,Food & Dining,expense,credit_card
261,2025-01-21,Fuel / Petrol,45.49,Transport,expense,bank_transfer
262,2025-01-04,Fuel / Petrol,75.68,Transport,expense,credit_card
263,2025-01-27,Uber / Lyft,21.01,Transport,expense,upi
264,2025-01-02,Uber / Lyft,28.15,Transport,expense,credit_card
265,2025-01-13,Metro / Bus Pass,28.57,Transport,expense,upi
266,2025-01-14,Car Maintenance,172.36,Transport,expense,upi
267,2025-01-17,Parking,20.26,Transport,expense,bank_transfer
268,2025-01-06,Netflix,15.16,Entertainment,expense,upi
269,2025-01-16,Spotify,10.83,Entertainment,expense,credit_card
270,2025-01-07,Cinema Tickets,41.04,Entertainment,expense,debit_card
271,2025-01-05,Cinema Tickets,32.0,Entertainment,expense,upi
272,2025-01-20,Gaming / Steam,31.89,Entertainment,expense,debit_card
273,2025-01-14,Concert / Events,99.34,Entertainment,expense,debit_card
274,2025-01-15,Concert / Events,115.17,Entertainment,expense,upi
275,2025-01-27,Gym Membership,37.68,Health & Fitness,expense,upi
276,2025-01-24,Pharmacy,50.91,Health & Fitness,expense,bank_transfer
277,2025-01-13,Doctor Visit,77.65,Health & Fitness,expense,credit_card
278,2025-01-12,Doctor Visit,44.6,Health & Fitness,expense,credit_card
279,2025-01-13,Health Insurance,160.55,Health & Fitness,expense,credit_card
280,2025-01-02,Amazon Purchase,78.49,Shopping,expense,credit_card
281,2025-01-17,Clothing Store,77.86,Shopping,expense,upi
282,2025-01-20,Clothing Store,99.73,Shopping,expense,credit_card
283,2025-01-02,Electronics,377.54,Shopping,expense,credit_card
284,2025-01-22,Home Goods,91.26,Shopping,expense,bank_transfer
285,2025-01-21,Home Goods,57.71,Shopping,expense,credit_card
286,2025-01-17,Books / Stationery,12.82,Shopping,expense,bank_transfer
287,2025-01-05,Books / Stationery,10.93,Shopping,expense,credit_card
288,2025-01-18,Electricity Bill,72.15,Utilities,expense,debit_card
289,2025-01-16,Internet Bill,61.83,Utilities,expense,credit_card
290,2025-01-17,Water Bill,36.17,Utilities,expense,cash
291,2025-01-22,Mobile Phone Bill,42.98,Utilities,expense,upi
292,2025-02-01,Monthly Salary,4913.1,Income,income,bank_transfer
293,2025-02-05,Rent Payment,1543.28,Housing,expense,credit_card
294,2025-02-02,Grocery Store,82.71,Food & Dining,expense,credit_card
295,2025-02-13,Grocery Store,101.94,Food & Dining,expense,upi
296,2025-02-24,Grocery Store,96.99,Food & Dining,expense,bank_transfer
297,2025-02-22,Grocery Store,90.02,Food & Dining,expense,debit_card
298,2025-02-08,Restaurant,63.49,Food & Dining,expense,debit_card
299,2025-02-25,Restaurant,41.47,Food & Dining,expense,cash
300,2025-02-02,Restaurant,83.14,Food & Dining,expense,debit_card
301,2025-02-05,Restaurant,74.48,Food & Dining,expense,credit_card
302,2025-02-12,Restaurant,74.46,Food & Dining,expense,credit_card
303,2025-02-20,Coffee Shop,15.21,Food & Dining,expense,debit_card
304,2025-02-10,Coffee Shop,9.25,Food & Dining,expense,debit_card
305,2025-02-01,Coffee Shop,5.45,Food & Dining,expense,bank_transfer
306,2025-02-09,Coffee Shop,15.01,Food & Dining,expense,bank_transfer
307,2025-02-15,Coffee Shop,8.81,Food & Dining,expense,debit_card
308,2025-02-10,Food Delivery,55.22,Food & Dining,expense,bank_transfer
309,2025-02-12,Food Delivery,48.15,Food & Dining,expense,debit_card
310,2025-02-20,Food Delivery,50.18,Food & Dining,expense,debit_card
311,2025-02-08,Bakery,11.71,Food & Dining,expense,debit_card
312,2025-02-22,Fuel / Petrol,58.47,Transport,expense,cash
313,2025-02-25,Uber / Lyft,28.07,Transport,expense,credit_card
314,2025-02-28,Uber / Lyft,29.81,Transport,expense,upi
315,2025-02-15,Metro / Bus Pass,56.04,Transport,expense,credit_card
316,2025-02-11,Car Maintenance,246.4,Transport,expense,bank_transfer
317,2025-02-28,Car Maintenance,246.24,Transport,expense,debit_card
318,2025-02-01,Parking,21.53,Transport,expense,credit_card
319,2025-02-22,Netflix,14.67,Entertainment,expense,upi
320,2025-02-03,Spotify,10.19,Entertainment,expense,bank_transfer
321,2025-02-02,Cinema Tickets,18.78,Entertainment,expense,credit_card
322,2025-02-06,Gaming / Steam,41.43,Entertainment,expense,debit_card
323,2025-02-15,Gaming / Steam,16.37,Entertainment,expense,upi
324,2025-02-06,Concert / Events,135.35,Entertainment,expense,credit_card
325,2025-02-11,Concert / Events,51.93,Entertainment,expense,bank_transfer
326,2025-02-17,Gym Membership,66.6,Health & Fitness,expense,credit_card
327,2025-02-12,Pharmacy,19.01,Health & Fitness,expense,upi
328,2025-02-06,Doctor Visit,54.85,Health & Fitness,expense,bank_transfer
329,2025-02-09,Health Insurance,149.97,Health & Fitness,expense,credit_card
330,2025-02-03,Amazon Purchase,65.25,Shopping,expense,upi
331,2025-02-05,Amazon Purchase,70.37,Shopping,expense,credit_card
332,2025-02-09,Clothing Store,134.42,Shopping,expense,upi
333,2025-02-24,Clothing Store,77.19,Shopping,expense,upi
334,2025-02-23,Electronics,185.05,Shopping,expense,debit_card
335,2025-02-26,Home Goods,39.84,Shopping,expense,credit_card
336,2025-02-13,Home Goods,56.02,Shopping,expense,bank_transfer
337,2025-02-17,Books / Stationery,11.51,Shopping,expense,bank_transfer
338,2025-02-15,Books / Stationery,24.52,Shopping,expense,upi
339,2025-02-04,Electricity Bill,50.05,Utilities,expense,credit_card
340,2025-02-10,Internet Bill,46.89,Utilities,expense,debit_card
341,2025-02-05,Water Bill,26.23,Utilities,expense,upi
342,2025-02-12,Mobile Phone Bill,58.24,Utilities,expense,debit_card
343,2025-03-01,Monthly Salary,4797.44,Income,income,bank_transfer
344,2025-03-06,Rent Payment,1426.87,Housing,expense,credit_card
345,2025-03-16,Grocery Store,83.94,Food & Dining,expense,upi
346,2025-03-09,Restaurant,26.5,Food & Dining,expense,bank_transfer
347,2025-03-20,Restaurant,70.62,Food & Dining,expense,debit_card
348,2025-03-27,Restaurant,78.99,Food & Dining,expense,credit_card
349,2025-03-21,Restaurant,50.08,Food & Dining,expense,cash
350,2025-03-14,Restaurant,45.7,Food & Dining,expense,bank_transfer
351,2025-03-23,Coffee Shop,9.66,Food & Dining,expense,debit_card
352,2025-03-05,Coffee Shop,11.99,Food & Dining,expense,bank_transfer
353,2025-03-14,Coffee Shop,6.12,Food & Dining,expense,credit_card
354,2025-03-18,Coffee Shop,4.87,Food & Dining,expense,credit_card
355,2025-03-19,Food Delivery,27.11,Food & Dining,expense,credit_card
356,2025-03-27,Food Delivery,51.2,Food & Dining,expense,debit_card
357,2025-03-27,Bakery,19.1,Food & Dining,expense,credit_card
358,2025-03-03,Bakery,12.77,Food & Dining,expense,bank_transfer
359,2025-03-06,Bakery,16.53,Food & Dining,expense,credit_card
360,2025-03-08,Bakery,13.04,Food & Dining,expense,debit_card
361,2025-03-16,Bakery,9.79,Food & Dining,expense,upi
362,2025-03-24,Fuel / Petrol,70.6,Transport,expense,credit_card
363,2025-03-16,Fuel / Petrol,43.19,Transport,expense,bank_transfer
364,2025-03-24,Uber / Lyft,26.19,Transport,expense,upi
365,2025-03-20,Metro / Bus Pass,56.99,Transport,expense,debit_card
366,2025-03-24,Car Maintenance,255.88,Transport,expense,credit_card
367,2025-03-12,Parking,15.19,Transport,expense,credit_card
368,2025-03-03,Parking,24.77,Transport,expense,credit_card
369,2025-03-03,Netflix,17.11,Entertainment,expense,credit_card
370,2025-03-21,Spotify,9.91,Entertainment,expense,credit_card
371,2025-03-19,Cinema Tickets,40.91,Entertainment,expense,debit_card
372,2025-03-08,Cinema Tickets,26.57,Entertainment,expense,credit_card
373,2025-03-18,Gaming / Steam,11.76,Entertainment,expense,bank_transfer
374,2025-03-03,Gaming / Steam,61.08,Entertainment,expense,credit_card
375,2025-03-04,Concert / Events,100.97,Entertainment,expense,cash
376,2025-03-09,Gym Membership,68.96,Health & Fitness,expense,debit_card
377,2025-03-21,Pharmacy,18.17,Health & Fitness,expense,bank_transfer
378,2025-03-23,Doctor Visit,76.26,Health & Fitness,expense,credit_card
379,2025-03-27,Doctor Visit,126.4,Health & Fitness,expense,upi
380,2025-03-16,Health Insurance,150.27,Health & Fitness,expense,credit_card
381,2025-03-18,Amazon Purchase,98.67,Shopping,expense,credit_card
382,2025-03-03,Clothing Store,45.27,Shopping,expense,upi
383,2025-03-04,Electronics,58.6,Shopping,expense,bank_transfer
384,2025-03-19,Home Goods,29.76,Shopping,expense,upi
385,2025-03-14,Books / Stationery,19.42,Shopping,expense,debit_card
386,2025-03-18,Books / Stationery,36.34,Shopping,expense,bank_transfer
387,2025-03-27,Electricity Bill,97.04,Utilities,expense,bank_transfer
388,2025-03-10,Internet Bill,55.19,Utilities,expense,bank_transfer
389,2025-03-02,Water Bill,30.97,Utilities,expense,bank_transfer
390,2025-03-20,Mobile Phone Bill,54.83,Utilities,expense,bank_transfer
391,2025-04-01,Monthly Salary,4430.88,Income,income,bank_transfer
392,2025-04-13,Rent Payment,1455.37,Housing,expense,bank_transfer
393,2025-04-20,Grocery Store,67.78,Food & Dining,expense,credit_card
394,2025-04-17,Grocery Store,84.68,Food & Dining,expense,cash
395,2025-04-11,Grocery Store,107.39,Food & Dining,expense,credit_card
396,2025-04-15,Grocery Store,119.16,Food & Dining,expense,credit_card
397,2025-04-21,Restaurant,24.76,Food & Dining,expense,upi
398,2025-04-07,Restaurant,69.33,Food & Dining,expense,bank_transfer
399,2025-04-07,Coffee Shop,12.65,Food & Dining,expense,credit_card
400,2025-04-09,Food Delivery,41.58,Food & Dining,expense,cash
401,2025-04-24,Food Delivery,37.28,Food & Dining,expense,upi
402,2025-04-04,Food Delivery,40.94,Food & Dining,expense,credit_card
403,2025-04-14,Food Delivery,35.58,Food & Dining,expense,bank_transfer
404,2025-04-05,Food Delivery,36.28,Food & Dining,expense,credit_card
405,2025-04-12,Bakery,12.25,Food & Dining,expense,credit_card
406,2025-04-26,Bakery,15.57,Food & Dining,expense,credit_card
407,2025-04-16,Bakery,20.34,Food & Dining,expense,debit_card
408,2025-04-19,Fuel / Petrol,67.7,Transport,expense,cash
