id,age,income,employment_length,credit_score,dti_ratio,home_ownership
304,23,65871,7,735,21.6,MORTGAGE
305,25,33826,10,831,35.2,MORTGAGE
306,47,76391,21,806,14.2,RENT
307,67,45385,5,806,37.1,MORTGAGE
308,30,95131,9,574,22.3,MORTGAGE
309,61,62144,29,799,24.3,MORTGAGE
310,27,52391,28,734,28.5,MORTGAGE
311,28,35059,25,650,21.4,OWN
312,28,39552,12,741,30.4,MORTGAGE
313,28,55325,8,697,27.5,RENT
314,23,49133,22,850,8.8,MORTGAGE
315,68,49902,17,771,33.1,MORTGAGE
316,45,45325,1,580,26.3,MORTGAGE
317,29,18986,15,520,18.4,OWN
318,50,77272,5,619,32.3,RENT
319,56,45078,11,661,7.6,RENT
320,52,46012,29,814,15.4,RENT
321,65,41733,18,582,27.6,MORTGAGE
322,27,42515,13,696,32.7,OTHER
323,46,22069,2,656,10.1,MORTGAGE
324,48,28755,25,643,26.3,MORTGAGE
325,56,49585,9,641,37.0,RENT
326,65,71333,19,672,21.0,MORTGAGE
327,43,32574,0,848,25.5,RENT
328,50,44485,23,712,23.3,MORTGAGE
329,45,74383,16,593,27.2,RENT
330,33,23695,0,790,28.7,MORTGAGE
331,51,36902,26,659,7.8,RENT
332,57,134331,18,759,18.5,MORTGAGE
333,36,27139,6,775,13.0,RENT
334,30,50693,29,681,13.9,RENT
335,46,36742,28,661,28.6,RENT
336,45,52536,21,670,9.6,RENT
337,63,25124,8,566,16.9,RENT
338,47,23241,19,735,13.9,MORTGAGE
339,67,85892,18,558,40.4,RENT
340,41,35824,16,791,32.8,MORTGAGE
341,33,134257,24,671,42.3,MORTGAGE
342,38,89333,11,515,12.4,RENT
343,54,36730,6,606,33.0,OWN
344,51,52996,18,762,34.4,RENT
345,39,63533,14,667,26.4,MORTGAGE
346,47,79804,13,745,11.7,RENT
347,34,31959,16,797,22.9,MORTGAGE
348,32,77326,9,765,24.8,MORTGAGE
349,43,73749,4,554,33.6,MORTGAGE
350,35,120389,4,699,20.7,RENT
351,61,41393,17,729,52.9,MORTGAGE
352,66,83297,15,597,30.8,MORTGAGE
353,48,106587,4,664,24.3,MORTGAGE
354,55,74351,8,699,31.3,OWN
355,22,31896,7,640,26.3,RENT
356,28,44617,23,686,33.9,OWN
357,45,61467,9,691,24.8,MORTGAGE
358,43,29989,5,759,15.3,MORTGAGE
359,46,114402,8,492,17.8,OWN
360,48,48463,3,850,31.7,MORTGAGE
361,68,28523,28,542,27.2,MORTGAGE
362,65,83544,22,674,5.7,MORTGAGE
363,28,49444,19,543,7.3,OWN
364,32,53485,20,710,10.8,OWN
365,36,77085,16,644,12.7,MORTGAGE
366,29,73758,10,769,38.4,RENT
367,61,24663,30,753,8.4,MORTGAGE
368,57,22445,10,750,23.5,MORTGAGE
369,62,52686,11,676,30.1,OWN
370,28,25818,13,744,21.8,RENT
371,24,42890,13,671,39.1,MORTGAGE
372,69,84116,16,750,44.3,MORTGAGE
373,30,97706,23,732,33.6,MORTGAGE
374,39,33332,7,572,14.7,RENT
375,57,35548,22,679,32.1,MORTGAGE
376,67,19170,4,601,7.2,OWN
377,67,58687,21,563,7.6,MORTGAGE
378,25,53310,4,659,18.8,MORTGAGE
379,35,28332,9,753,22.1,MORTGAGE
380,46,29194,17,777,23.4,MORTGAGE
381,42,122196,21,508,25.2,MORTGAGE
382,67,61400,20,619,19.6,MORTGAGE
383,33,106953,5,740,21.5,RENT
384,67,51854,14,685,24.6,MORTGAGE
385,57,33058,18,625,11.0,RENT
386,47,53276,17,586,27.9,RENT
387,70,29296,17,681,23.3,MORTGAGE
388,42,22668,21,515,8.9,RENT
389,54,49476,16,526,19.2,MORTGAGE
390,56,160528,17,791,25.7,MORTGAGE
391,69,133648,28,726,24.3,MORTGAGE
392,38,59117,25,705,9.8,RENT
393,29,56257,21,664,8.0,MORTGAGE
394,65,48851,25,718,20.7,MORTGAGE
395,69,59901,4,570,8.2,OWN
396,22,24928,11,720,10.0,RENT
397,69,47127,23,752,29.5,OWN
398,64,40815,5,710,28.0,MORTGAGE
399,68,38762,6,647,1,RENT
400,61,93039,10,716,13.7,RENT
401,36,79064,25,718,18.6,RENT
402,41,57999,24,583,17.2,MORTGAGE
403,62,43971,23,726,25.5,RENT
404,24,78813,29,580,10.1,OTHER
405,40,126486,23,705,29.9,RENT
406,32,39437,21,850,22.2,RENT
407,44,103246,30,768,38.4,RENT
408,52,49056,12,521,40.0,RENT
409,56,122269,18,658,13.2,RENT
410,55,207224,7,677,6.7,RENT
411,54,68225,2,714,17.7,RENT
412,29,134052,23,700,10.7,RENT
413,30,64523,5,793,20.1,MORTGAGE
414,23,113378,20,483,33.7,MORTGAGE
415,48,43199,26,716,7.7,MORTGAGE
416,60,34474,14,666,15.9,RENT
417,60,53407,4,586,31.3,MORTGAGE
418,60,79709,4,756,21.5,MORTGAGE
419,52,32829,30,649,24.4,MORTGAGE
420,40,18178,2,699,11.8,RENT
421,63,49737,12,572,27.0,OWN
422,45,100524,18,672,1,RENT
423,38,96450,15,729,35.1,MORTGAGE
424,66,69272,25,727,26.4,OWN
425,62,40734,30,665,26.4,RENT
426,47,57922,12,701,12.8,MORTGAGE
427,64,54317,27,666,33.0,RENT
428,22,35618,20,640,26.2,RENT
429,26,58908,22,684,33.0,MORTGAGE
430,34,39017,30,705,12.2,RENT
431,54,53686,3,597,41.7,MORTGAGE
432,43,38895,24,537,32.8,OWN
433,65,72534,7,796,16.6,OWN
434,65,81639,12,673,21.9,MORTGAGE
435,65,47007,23,628,27.9,MORTGAGE
436,61,138826,26,702,11.3,RENT
437,24,56445,30,850,27.6,RENT
438,36,29858,12,689,22.0,OWN
439,33,122092,24,577,17.1,OWN
440,61,63471,11,649,26.2,RENT
441,66,87598,13,718,22.1,OWN
442,39,23290,23,615,26.2,MORTGAGE
443,30,40423,15,699,41.5,OWN
444,66,47983,3,697,25.6,RENT
445,38,88536,25,606,16.3,RENT
446,42,117532,11,751,16.6,MORTGAGE
447,43,41309,20,850,9.9,OWN
448,60,79131,8,649,17.1,OWN
449,30,63831,0,630,19.9,MORTGAGE
450,25,80878,17,850,31.9,MORTGAGE
451,36,22918,9,574,22.1,MORTGAGE
452,52,23170,10,587,2.2,MORTGAGE
453,62,40203,23,596,29.7,MORTGAGE
454,45,67127,9,685,17.0,RENT
455,53,98953,22,654,32.8,RENT
456,57,55377,13,766,15.0,MORTGAGE
457,61,64452,24,621,27.4,RENT
458,62,60658,3,724,11.4,MORTGAGE
459,40,53103,3,698,20.1,MORTGAGE
460,53,77807,25,637,33.2,MORTGAGE
461,56,72993,2,826,15.6,MORTGAGE
462,37,33497,14,660,21.8,OWN
463,32,36570,10,647,20.0,MORTGAGE
464,64,146011,27,739,23.0,MORTGAGE
465,24,98962,0,795,8.6,MORTGAGE
466,70,54197,10,543,19.5,MORTGAGE
467,70,97134,20,633,9.9,MORTGAGE
468,50,62438,22,679,10.3,OWN
469,57,66064,19,502,28.6,OWN
470,23,37339,5,623,15.1,MORTGAGE
471,53,40359,21,704,22.6,RENT
472,30,47774,30,665,23.1,RENT
473,66,78725,19,600,19.3,RENT
474,62,35928,14,833,33.9,MORTGAGE
475,68,38111,1,711,29.7,MORTGAGE
476,37,67245,21,635,1,MORTGAGE
477,64,38306,22,560,17.8,MORTGAGE
478,44,46954,29,560,32.3,OTHER
479,56,27534,18,661,25.8,MORTGAGE
480,60,87986,9,564,27.4,MORTGAGE
481,66,119217,30,618,31.8,OWN
482,45,58208,8,629,27.8,RENT
483,52,65923,10,687,30.7,MORTGAGE
484,46,116979,18,634,25.0,MORTGAGE
485,69,25711,7,802,14.2,RENT
486,66,50480,16,630,22.6,MORTGAGE
487,47,53608,9,616,27.4,OWN
488,70,53643,4,524,30.5,OWN
489,49,51198,8,613,11.9,RENT
490,41,99198,24,606,26.5,MORTGAGE
491,31,39991,11,704,23.0,RENT
492,43,27444,0,793,20.3,OWN
493,57,97065,8,711,5.9,RENT
494,66,64598,6,678,19.6,MORTGAGE
495,28,30074,27,759,42.0,MORTGAGE
496,60,69912,27,743,15.7,OWN
497,53,100090,10,681,17.4,RENT
498,25,49992,25,785,7.5,MORTGAGE
499,27,82347,4,630,20.5,MORTGAGE
500,50,44274,10,850,15.4,RENT
501,30,112234,16,629,2.2,MORTGAGE
502,42,45985,5,539,25.0,RENT
503,62,118334,26,631,29.3,MORTGAGE
504,61,41986,18,625,22.9,MORTGAGE
505,63,53640,22,557,8.3,OWN
506,48,49681,8,681,24.6,RENT
507,37,55714,14,600,6.5,MORTGAGE
508,63,27711,16,674,34.5,OWN
509,69,53326,12,788,31.6,MORTGAGE
510,32,131009,14,623,9.8,RENT
511,33,68824,3,542,26.2,MORTGAGE
512,34,98950,22,731,25.2,RENT
513,55,27382,2,645,17.7,OTHER
514,64,80589,27,718,25.9,RENT
515,29,49009,5,752,42.4,RENT
516,53,53396,28,670,23.0,OWN
517,62,101639,19,683,4.5,RENT
518,60,30054,26,761,15.3,RENT
519,58,33095,19,574,23.5,OWN
520,26,85532,12,653,23.0,RENT
521,66,85310,6,635,22.9,MORTGAGE
522,40,31604,22,554,4.6,RENT
523,62,36852,23,600,3.8,MORTGAGE
524,69,60186,3,804,32.4,OTHER
525,66,51158,6,671,18.5,RENT
526,58,35585,23,647,20.2,RENT
527,52,55351,4,656,28.2,MORTGAGE
528,58,20987,9,672,20.6,OWN
529,39,40048,4,744,26.9,RENT
530,70,68200,25,697,14.9,MORTGAGE
531,35,106840,9,562,15.9,RENT
532,31,59252,16,782,30.3,MORTGAGE
533,55,27719,30,795,19.6,MORTGAGE
534,60,55824,21,850,28.2,MORTGAGE
535,35,61001,20,830,19.2,RENT
536,61,74790,0,722,17.7,OWN
537,26,29260,5,719,14.1,OWN
538,49,63154,2,764,9.8,MORTGAGE
539,56,120381,25,728,41.9,MORTGAGE
540,65,43717,9,667,11.5,OWN
541,64,68923,29,642,12.4,RENT
542,44,61653,9,507,17.9,RENT
543,48,91705,18,647,22.5,RENT
544,58,32904,13,647,24.9,RENT
545,42,57307,14,559,4.5,RENT
546,53,31981,10,543,19.8,RENT
547,50,54194,4,730,12.2,MORTGAGE
548,49,33778,9,500,17.5,OTHER
549,57,73117,11,732,22.4,MORTGAGE
550,62,117586,12,692,17.9,RENT
551,45,85479,29,713,25.1,OTHER
552,49,122696,21,795,27.3,RENT
553,54,40286,14,793,5.5,RENT
554,54,54687,22,534,19.2,MORTGAGE
555,66,87928,30,599,36.2,OWN
556,69,42650,20,628,14.3,MORTGAGE
557,52,38088,0,771,1.2,MORTGAGE
558,69,105807,19,748,16.2,RENT
559,23,51275,19,843,21.0,OWN
560,60,50722,3,689,28.1,RENT
561,55,31300,25,648,27.9,RENT
562,46,56412,24,394,22.8,MORTGAGE
563,25,28165,3,585,27.0,RENT
564,49,56642,27,630,44.8,OWN
565,49,77150,11,770,10.8,RENT
566,69,40923,21,593,22.8,MORTGAGE
567,26,57944,0,674,26.5,RENT
568,25,60028,2,686,35.5,MORTGAGE
569,63,40261,24,610,1,MORTGAGE
570,49,69682,8,767,16.7,MORTGAGE
571,38,65478,1,762,29.5,OWN
572,56,91503,4,725,22.8,MORTGAGE
573,50,76511,24,811,33.7,MORTGAGE
574,58,78006,12,726,37.7,MORTGAGE
575,22,45423,7,693,10.6,MORTGAGE
576,63,63531,30,670,32.4,OTHER
577,46,42208,1,646,17.5,RENT
578,30,38008,6,752,24.2,OTHER
579,50,34155,30,614,23.8,RENT
580,51,109897,16,711,40.8,OWN
581,61,95394,15,762,36.9,RENT
582,59,80375,26,781,39.0,RENT
583,69,83588,26,703,18.1,OTHER
584,33,23885,18,720,19.4,RENT
585,30,83164,1,489,37.7,MORTGAGE
586,63,57056,22,850,15.2,MORTGAGE
587,33,93185,7,667,19.9,RENT
588,57,34452,0,696,22.5,OWN
589,62,49667,24,618,17.7,RENT
590,63,140684,1,789,17.5,RENT
591,53,50603,0,628,18.2,RENT
592,29,18600,7,676,19.9,MORTGAGE
593,31,49753,13,654,24.9,RENT
594,30,73693,10,635,34.7,RENT
595,60,38116,9,684,31.8,OTHER
596,35,90201,15,831,6.0,RENT
597,59,62466,29,621,42.9,MORTGAGE
598,55,30058,13,668,7.7,MORTGAGE
599,35,25123,13,682,27.6,MORTGAGE
600,59,21045,23,628,32.9,MORTGAGE
601,62,63422,27,555,41.1,RENT
602,35,44014,25,786,23.0,MORTGAGE
603,61,63348,14,763,31.2,MORTGAGE
604,63,51875,3,745,1,MORTGAGE
605,49,74241,21,637,21.4,RENT
606,40,26129,17,646,12.9,MORTGAGE
607,26,90728,9,848,28.2,MORTGAGE
608,56,40187,21,627,32.3,OWN
609,63,22050,16,734,15.2,MORTGAGE
610,58,34379,9,733,33.9,RENT
611,40,46421,11,683,16.2,MORTGAGE
612,32,27075,4,633,22.2,RENT
613,44,51491,10,657,28.5,OTHER
614,42,54232,14,629,36.8,OWN
615,58,24255,24,850,13.1,MORTGAGE
616,29,46128,17,719,18.4,MORTGAGE
617,39,32425,7,604,23.4,MORTGAGE
618,25,100783,30,629,29.9,RENT
619,57,77268,14,636,35.8,OWN
620,48,18815,23,653,30.5,RENT
621,70,147197,18,572,21.2,MORTGAGE
622,33,34222,6,498,26.1,OWN
623,22,37955,25,675,26.8,MORTGAGE
624,63,72356,22,589,22.2,RENT
625,65,36199,20,513,6.8,RENT
626,51,62833,10,696,25.9,RENT
627,62,75004,16,633,33.1,MORTGAGE
628,65,41142,26,504,24.5,MORTGAGE
629,45,67042,9,710,23.9,MORTGAGE
630,61,24936,17,758,12.9,MORTGAGE
631,30,56895,26,645,32.1,RENT
632,33,33225,10,555,21.4,MORTGAGE
633,27,69980,4,686,6.9,RENT
634,54,61196,21,687,12.6,MORTGAGE
635,35,62723,19,718,16.3,MORTGAGE
636,32,103637,11,659,32.7,MORTGAGE
637,34,29398,22,689,28.0,MORTGAGE
638,45,33938,15,834,20.0,MORTGAGE
639,29,71384,13,583,22.6,OWN
640,42,117850,2,645,12.2,OWN
641,49,47207,27,609,23.4,MORTGAGE
642,47,53924,3,784,8.4,RENT
643,26,106868,5,844,17.6,RENT
644,59,54434,24,526,8.0,MORTGAGE
645,31,74997,8,594,22.5,RENT
646,65,21184,15,667,28.2,MORTGAGE
647,53,26003,16,688,23.8,MORTGAGE
648,70,33342,30,751,32.4,MORTGAGE
649,64,55961,17,657,27.4,MORTGAGE
650,53,55212,21,636,13.9,MORTGAGE
651,61,78311,12,598,14.4,RENT
652,23,106690,18,570,23.3,RENT
653,63,61694,7,743,20.4,MORTGAGE
654,49,88739,27,633,2.4,RENT
655,53,82008,25,589,34.1,RENT
656,34,39583,13,615,2.6,MORTGAGE
657,61,53529,7,771,21.8,MORTGAGE
658,44,31611,6,712,26.1,RENT
659,51,65843,16,621,16.0,MORTGAGE
660,51,24604,30,590,20.4,MORTGAGE
661,37,50697,4,595,30.9,RENT
662,39,61874,13,735,28.4,RENT
663,51,63237,9,838,1,OWN
664,57,133354,21,671,30.8,OTHER
665,26,76219,27,785,30.3,RENT
666,54,65399,23,707,33.1,MORTGAGE
667,43,32680,10,554,30.1,MORTGAGE
668,48,176300,14,787,21.6,OWN
669,39,76812,30,558,39.1,RENT
670,64,50279,23,699,23.0,MORTGAGE
671,65,47933,25,762,36.5,MORTGAGE
